AUC:0.9362   Time:1.2083   
AUC:0.9468   Time:1.1696   
AUC:0.9404   Time:1.1933   
AUC:0.9476   Time:1.2307   
AUC:0.9344   Time:1.2537   
AUC:0.9523   Time:1.4003   
AUC:0.9409   Time:1.3219   
AUC:0.935   Time:1.2494   
AUC:0.954   Time:1.275   
AUC:0.9364   Time:1.2482   
AUC:0.945   Time:1.3023   
AUC:0.9446   Time:1.2971   
AUC:0.9468   Time:1.4217   
AUC:0.9509   Time:1.3854   
AUC:0.9449   Time:1.4043   
AUC:0.9559   Time:1.3892   
AUC:0.9511   Time:1.3995   
AUC:0.9495   Time:1.4672   
AUC:0.9557   Time:1.4229   
AUC:0.9506   Time:1.3674   
