AUC:0.9343   Time:0.1247   
AUC:0.9059   Time:0.1556   
AUC:0.9171   Time:0.1536   
AUC:0.9475   Time:0.1227   
AUC:0.9263   Time:0.1267   
AUC:0.9245   Time:0.1267   
AUC:0.9217   Time:0.1257   
AUC:0.9337   Time:0.1277   
AUC:0.9299   Time:0.1287   
AUC:0.9616   Time:0.1327   
0.6226   Time:0.1744   
0.684   Time:0.1327   
0.7642   Time:0.1327   
0.7736   Time:0.1296   
0.816   Time:0.1326   
0.8443   Time:0.1307   
0.8302   Time:0.132   
0.8302   Time:0.1264   
0.8302   Time:0.1314   
0.8208   Time:0.1248   
0.8208   Time:0.1316   
0.8679   Time:0.1372   
0.8679   Time:0.1296   
AUC:0.8349   Time:0.2154   
AUC:0.9305   Time:0.0309   
AUC:0.9671   Time:0.3341   
