0.4151   Time:18.4039   
0.4022   Time:13.5769   
0.5957   Time:13.8565   
0.5871   Time:11.9253   
0.6043   Time:15.288   
0.6129   Time:13.0547   
0.6366   Time:11.6091   
0.6817   Time:13.33   
0.6925   Time:15.3267   
0.6645   Time:12.6207   
0.6731   Time:12.1426   
0.7161   Time:11.6303   
0.7204   Time:11.6408   
AUC:0.0006   Time:0.5456   
AUC:0.1515   Time:0.621   
AUC:0.0877   Time:0.6351   
AUC:0.0691   Time:0.6475   
AUC:0.0691   Time:0.6474   
AUC:0.1353   Time:0.6484   
AUC:0.0691   Time:0.6469   
AUC:0.1885   Time:0.9414   
AUC:0.0691   Time:0.6479   
AUC:0.1412   Time:0.6497   
AUC:0.1422   Time:0.6487   
AUC:0.1406   Time:0.6473   
AUC:0.1385   Time:0.6495   
AUC:0.1236   Time:0.6472   
AUC:0.1323   Time:0.6492   
AUC:0.1352   Time:0.6487   
AUC:0.089   Time:0.6505   
AUC:0.0637   Time:0.6481   
AUC:0.1261   Time:0.6499   
AUC:0.1247   Time:0.6483   
AUC:0.1375   Time:0.6533   
AUC:0.0968   Time:0.6477   
AUC:0.1249   Time:0.6481   
AUC:0.1212   Time:0.6476   
AUC:0.1122   Time:0.6465   
AUC:0.1068   Time:0.6497   
AUC:0.1142   Time:0.648   
AUC:0.0941   Time:0.649   
AUC:0.1018   Time:0.6476   
AUC:0.1229   Time:0.6482   
AUC:0.1011   Time:0.6498   
AUC:0.0737   Time:0.1716   
AUC:0   Time:0.2439   
AUC:0   Time:0.2438   
AUC:0.2811   Time:0.209   
AUC:0.2858   Time:0.2093   
AUC:0.2683   Time:0.1847   
AUC:0.2676   Time:0.1847   
AUC:0.2249   Time:0.199   
AUC:0.2807   Time:0.2606   
AUC:0.2872   Time:0.2267   
AUC:0.2756   Time:1.2417   
AUC:0.2721   Time:1.2419   
AUC:0.2793   Time:1.2665   
AUC:0.277   Time:6.5162   
AUC:0.3299   Time:6.5004   
